ID,session_type,type
168624814378096,bilendi,success
167917339360341,bilendi,success
168731689137252,bilendi,success
167321334582288,bilendi,success
167323564844037,bilendi,screen out
166705830573116,bilendi,success
166707111806004,bilendi,screen out
167755147794551,bilendi,screen out
168472018108452,bilendi,screen out
164212406199308,bilendi,screen out
167755118510194,bilendi,success
168362485184564,bilendi,success
167125457120361,bilendi,screen out
168362366279796,bilendi,success
167825381395516,bilendi,success
168108337939558,bilendi,screen out
167125429506115,bilendi,success
166705854656534,bilendi,screen out
168110329445427,bilendi,success
166687840674859,bilendi,success
166611615879179,bilendi,success
167326047327232,bilendi,screen out
166707110474790,bilendi,success
166527055644689,bilendi,screen out
168731689752636,bilendi,success
166705831624751,bilendi,success
167298181553197,bilendi,success
168731690532944,bilendi,screen out
168472017120272,bilendi,success
168110292501628,bilendi,success
167322097958992,bilendi,success
168362484229142,bilendi,success
168552975593545,bilendi,screen out
168472016187420,bilendi,success
166706717020171,bilendi,screen out
167322067566703,bilendi,success
168979626880012,bilendi,screen out
168979479795831,bilendi,success
168979625623623,bilendi,success
168979624854600,bilendi,success
168979479043087,bilendi,success
168979478291503,bilendi,success
168979624715316,bilendi,screen out
168979478655071,bilendi,success
168979626767484,bilendi,screen out
168979624448008,bilendi,screen out
168979624190038,bilendi,success
168979625843815,bilendi,success
168979479741550,bilendi,success
168979629154341,bilendi,success
168979629297748,bilendi,screen out
166706715363389,bilendi,success
168979478706281,bilendi,success
168979625015394,bilendi,success
168979624524823,bilendi,screen out
168979479128087,bilendi,success
168979625407523,bilendi,success
168979628886119,bilendi,success
168979625139318,bilendi,success
168552975351838,bilendi,screen out
168979624054851,bilendi,success
168552921230356,bilendi,success
168979624892495,bilendi,success
168979625084011,bilendi,success
168979478489162,bilendi,screen out
168731690372145,bilendi,success
168979627197502,bilendi,screen out
168011308971039,bilendi,screen out
168979478157336,bilendi,success
168979481243756,bilendi,success
168979626028045,bilendi,screen out
168362484450374,bilendi,success
168979624175699,bilendi,screen out
168979477643365,bilendi,success
168979479054353,bilendi,success
168979625788507,bilendi,success
164212378570850,bilendi,screen out
168979625286671,bilendi,success
168979478394941,bilendi,screen out
166611698411612,bilendi,success
168979478690918,bilendi,success
168979479897092,bilendi,success
166707111092290,bilendi,success
168979627002907,bilendi,screen out
168979477613666,bilendi,success
168979624126538,bilendi,screen out
167211532012632,bilendi,screen out
166707651404879,bilendi,success
168624776219723,bilendi,screen out
164056352703592,bilendi,screen out
168979625552959,bilendi,success
168979625834597,bilendi,success
168011267746854,bilendi,success
168979478413377,bilendi,success
168979629267007,bilendi,success
168110329820197,bilendi,success
168979625884783,bilendi,success
167825422006332,bilendi,success
168979624664110,bilendi,screen out
168979629296722,bilendi,success
168552920518687,bilendi,success
167323138546702,bilendi,success
168979628856416,bilendi,success
168979625399328,bilendi,success
168624814665764,bilendi,screen out
167125456712758,bilendi,success
167825382685699,bilendi,success
168731692732519,bilendi,success
168979478595670,bilendi,success
168552921366570,bilendi,success
168979629231159,bilendi,success
168979479511110,bilendi,screen out
166527056144414,bilendi,success
168979624768569,bilendi,success
168110331133992,bilendi,screen out
168979624039488,bilendi,success
166705854071868,bilendi,screen out
166687838076942,bilendi,success
168109647077377,bilendi,screen out
168979626034190,bilendi,success
167755118480491,bilendi,success
168731693442060,bilendi,success
168979625350163,bilendi,screen out
168979480620152,bilendi,success
168979481184349,bilendi,success
168731693442060,bilendi,success
168979625595972,bilendi,success
168979624215643,bilendi,screen out
168979477793906,bilendi,success
168979628876900,bilendi,screen out
168362365449337,bilendi,success
167326047416352,bilendi,success
168979479791734,bilendi,success
168108370209892,bilendi,screen out
166707650951248,bilendi,screen out
168979624884302,bilendi,screen out
168624777357434,bilendi,success
168979624789053,bilendi,success
166707109077057,bilendi,success
167825385679956,bilendi,success
168979624352880,bilendi,success
166706690938903,bilendi,success
168624814731311,bilendi,screen out
168979480095785,bilendi,success
168979477814390,bilendi,screen out
168979623865377,bilendi,success
168108337998964,bilendi,screen out
168979626538067,bilendi,success
168979481118794,bilendi,success
168979623916588,bilendi,success
168979477814390,bilendi,success
168979478342707,bilendi,screen out
168979479357493,bilendi,screen out
168979478459462,bilendi,success
168979625957503,bilendi,success
167825430719546,bilendi,success
168979629284424,bilendi,success
168624814711851,bilendi,success
168731691576323,bilendi,screen out
166687838590056,bilendi,success
168108337922147,bilendi,success
168979477677160,bilendi,success
168979625953406,bilendi,success
168979623954484,bilendi,success
168362367897657,bilendi,success
167323140184149,bilendi,success
168979625105518,bilendi,screen out
168979479933964,bilendi,success
168979623650312,bilendi,success
168979477669991,bilendi,success
167322097464402,bilendi,success
168624818456637,bilendi,success
168108338084989,bilendi,success
168731689870423,bilendi,success
168979480654974,bilendi,success
168109780665362,bilendi,success
168109781996625,bilendi,success
168979626063891,bilendi,success
168979624559643,bilendi,screen out
168011309036603,bilendi,success
168979624466442,bilendi,success
167917339384921,bilendi,screen out
167298182310960,bilendi,screen out
168979629246524,bilendi,screen out
168472055246853,bilendi,success
168979477953540,bilendi,success
167825427154944,bilendi,success
166611699911770,bilendi,screen out
168552976310344,bilendi,success
168731690051703,bilendi,success
166705853364320,bilendi,screen out
168979624522774,bilendi,screen out
168624816404555,bilendi,success
167125456447514,bilendi,success
168731655843847,bilendi,success
167917379252225,bilendi,success
168979626193957,bilendi,success
168979623911467,bilendi,success
167125427136540,bilendi,screen out
168979623980091,bilendi,screen out
168979478986759,bilendi,success
167322068044906,bilendi,success
168110329005060,bilendi,success
167755147828350,bilendi,success
168731654153266,bilendi,success
164295136563286,bilendi,success
166527054854167,bilendi,screen out
166707649639506,bilendi,screen out
168979626805251,bilendi,screen out
168731689379840,bilendi,success
168979626827782,bilendi,success
168979623790619,bilendi,success
166706715425874,bilendi,success
168979624924244,bilendi,screen out
168979627024416,bilendi,success
168979626587225,bilendi,success
168979477469277,bilendi,success
166706691032102,bilendi,success
168979479706727,bilendi,success
168472059906058,bilendi,success
168110329704572,bilendi,screen out
166707110686844,bilendi,success
168979479600215,bilendi,success
168979480143924,bilendi,screen out
166687836676215,bilendi,success
167298183614512,bilendi,success
168979480143924,bilendi,screen out
167211535122539,bilendi,success
167755151712363,bilendi,screen out
168979479048208,bilendi,success
168362484674661,bilendi,success
168979625026660,bilendi,success
164212406108160,bilendi,success
168362484331562,bilendi,success
168979625914487,bilendi,success
168979624533017,bilendi,success
168731689477128,bilendi,success
167825428189236,bilendi,screen out
168979623855135,bilendi,success
166706715412552,bilendi,success
168979627350112,bilendi,screen out
168624816097312,bilendi,success
168472014137404,bilendi,screen out
168979624572960,bilendi,success
166705856017521,bilendi,success
164212406003817,bilendi,screen out
168472016548938,bilendi,screen out
167755151668319,bilendi,screen out
168979478843513,bilendi,success
166706690849918,bilendi,screen out
168979624058948,bilendi,success
168624818950201,bilendi,success
167321359285354,bilendi,success
168472054603855,bilendi,success
168979478782066,bilendi,screen out
168979625129075,bilendi,success
167755149147257,bilendi,success
168979478813815,bilendi,success
168979478191132,bilendi,success
168979625628744,bilendi,success
168979625020515,bilendi,success
168472058195014,bilendi,screen out
168011265406005,bilendi,success
168552974455928,bilendi,success
168552974012480,bilendi,success
168108369753150,bilendi,screen out
168979626258480,bilendi,success
164056117877877,bilendi,success
168731692856321,bilendi,success
168011264775175,bilendi,screen out
167917341065322,bilendi,screen out
166707651846153,bilendi,success
167755148950624,bilendi,success
168624775680003,bilendi,success
168011265040417,bilendi,success
168979624804415,bilendi,screen out
166705831807093,bilendi,screen out
168110330963025,bilendi,screen out
167323566505029,bilendi,success
168624814240862,bilendi,success
166687839635531,bilendi,success
168979625822307,bilendi,screen out
164115710133314,bilendi,success
167755119553596,bilendi,screen out
168552976796705,bilendi,screen out
168624775667713,bilendi,screen out
168979623947314,bilendi,success
167321361890419,bilendi,screen out
168979624239198,bilendi,success
168979625691218,bilendi,success
168362483075136,bilendi,success
167325804475397,bilendi,screen out
168979480871970,bilendi,screen out
166611699746866,bilendi,screen out
166707083804755,bilendi,success
168979479667809,bilendi,success
168979624303722,bilendi,success
166611698793526,bilendi,screen out
168979624223836,bilendi,success
168979478573138,bilendi,screen out
168362366476321,bilendi,success
