ID,session_type,type
166706690546784,bilendi,success
167211533178928,bilendi,screen out
167211466656816,bilendi,success
167211533009923,bilendi,success
167211531670579,bilendi,screen out
167211466308632,bilendi,success
166707624537168,bilendi,success
167211468093469,bilendi,screen out
166705856742479,bilendi,success
167125459865688,bilendi,success
167211530630204,bilendi,success
167211467694157,bilendi,success
167211466253334,bilendi,success
167211466181648,bilendi,success
166707650650181,bilendi,success
166705851829345,bilendi,screen out
166611698141202,bilendi,success
166707651658816,bilendi,screen out
167211534188583,bilendi,success
167211533866059,bilendi,success
166707651812437,bilendi,success
166707110830167,bilendi,success
166706715268118,bilendi,success
166611618713657,bilendi,success
166705851818076,bilendi,success
167211467043949,bilendi,success
167211467886714,bilendi,success
167211531557933,bilendi,success
167211466885196,bilendi,success
164295137532955,bilendi,success
164115707314210,bilendi,screen out
167211533094938,bilendi,screen out
167125457546280,bilendi,success
167211532801111,bilendi,success
167211530963046,bilendi,success
167211530603574,bilendi,screen out
166706717490227,bilendi,success
166611617970289,bilendi,success
166611699235883,bilendi,success
167211467958278,bilendi,success
167211533651984,bilendi,success
167211531150463,bilendi,success
166611698312259,bilendi,success
167211532292130,bilendi,screen out
167211530181757,bilendi,success
166687837110339,bilendi,success
167211533149224,bilendi,success
167125461163035,bilendi,success
167211535041621,bilendi,success
167211532909678,bilendi,success
164295138440251,bilendi,screen out
167125457490977,bilendi,screen out
167211466396706,bilendi,success
166707109735538,bilendi,success
167211533239359,bilendi,success
166707112181861,bilendi,success
166707110748182,bilendi,success
167211467849844,bilendi,success
166611701004385,bilendi,screen out
166687840712765,bilendi,screen out
167211531750458,bilendi,success
167211468162090,bilendi,success
166707111306243,bilendi,success
167211532143739,bilendi,success
166687836613737,bilendi,success
166611617413159,bilendi,success
167211467934721,bilendi,success
167211533819963,bilendi,success
167125458298919,bilendi,success
167211530819668,bilendi,success
167211530304532,bilendi,success
167211530025066,bilendi,success
167211533403227,bilendi,success
167211466514474,bilendi,success
167211531106425,bilendi,screen out
167211531782209,bilendi,success
167211531106425,bilendi,success
167125427202116,bilendi,success
167211531940939,bilendi,success
167211535150198,bilendi,success
166707083725878,bilendi,success
166707082975329,bilendi,success
166706717540431,bilendi,screen out
166707650827295,bilendi,success
166611700110342,bilendi,success
166705853456494,bilendi,screen out
166706714313850,bilendi,success
166707110860897,bilendi,screen out
167211468531723,bilendi,success
166705851686989,bilendi,screen out
167211467266058,bilendi,success
167211535233066,bilendi,success
167211468988447,bilendi,screen out
167211467741270,bilendi,screen out
167125457382415,bilendi,screen out
166707112161320,bilendi,success
167211534602347,bilendi,success
167211467019366,bilendi,success
167125427764266,bilendi,success
166705852344355,bilendi,success
166707650017289,bilendi,success
167211468416109,bilendi,success
166706692736091,bilendi,success
167125461151765,bilendi,success
167211531002988,bilendi,success
167211531337751,bilendi,success
167211466485796,bilendi,success
167125427759144,bilendi,success
167211535004748,bilendi,success
167211532109937,bilendi,success
167211530946661,bilendi,success
