ID,session_type,type
164056118172717,bilendi,success
164056117945356,bilendi,success
164056118234199,bilendi,success
164056118105156,bilendi,success
164056117896217,bilendi,screen out
164056118380573,bilendi,success
164056352704618,bilendi,success
164056117888008,bilendi,success
164056353030240,bilendi,success
164056353049619,bilendi,success
164056118372464,bilendi,success
164056117990479,bilendi,screen out
164056117987398,bilendi,success
164056117889034,bilendi,success
164056352715776,bilendi,success
164056118379542,bilendi,screen out
164056352753701,bilendi,success
164056117828645,bilendi,screen out
164056117833778,bilendi,success
164056118106181,bilendi,screen out
164056117975099,bilendi,success
164056352832598,bilendi,success
164056352852081,bilendi,success
164056118382633,bilendi,success
164056352851052,bilendi,success
164056352705652,bilendi,success
164056118324251,bilendi,success
164056117888007,bilendi,success
164056118356059,bilendi,success
164056352891945,bilendi,success
164056352705650,bilendi,success
164056117975098,bilendi,success
164056353040394,bilendi,success
164056118125661,bilendi,success
164056352949302,bilendi,screen out
164056118103106,bilendi,success
164056117924951,bilendi,success
164056352987235,bilendi,success
164056353037428,bilendi,success
164056118350915,bilendi,screen out
164056353014799,bilendi,success
164056118377487,bilendi,success
164056118088751,bilendi,success
164056353040395,bilendi,screen out
164056117846081,bilendi,success
164056117995618,bilendi,success
164056117933169,bilendi,screen out
164056352754731,bilendi,success
164056352892980,bilendi,success
164056117874794,bilendi,success
164056118076439,bilendi,success
164056352811079,bilendi,success
164056118067217,bilendi,success
164056118355033,bilendi,success
164056117900328,bilendi,screen out
164056118170662,bilendi,success
164056117964842,bilendi,success
164056117886979,bilendi,success
164056353040393,bilendi,screen out
164056117846078,bilendi,screen out
164056352754730,bilendi,success
164056117850189,bilendi,success
164056352773170,bilendi,success
164056117886980,bilendi,screen out
164056117863515,bilendi,screen out
164056118209600,bilendi,screen out
164056118382631,bilendi,screen out
164056117999726,bilendi,screen out
164056352950335,bilendi,success
164056117944330,bilendi,screen out
164056117880957,bilendi,success
164056352881697,bilendi,screen out
164056117931115,bilendi,success
164056117941371,bilendi,screen out
164056352747542,bilendi,screen out
164056118146174,bilendi,success
164056118062090,bilendi,success
164056118281268,bilendi,success
164056352702563,bilendi,success
164056117872740,bilendi,success
164056117859416,bilendi,success
164056118150149,bilendi,screen out
164056353049620,bilendi,success
164056118211657,bilendi,success
164056118068245,bilendi,success
164115732592747,bilendi,screen out
164115732344883,bilendi,screen out
164115734084668,bilendi,screen out
164056352704619,bilendi,success
164115732854809,bilendi,screen out
164115707787377,bilendi,success
164115708099681,bilendi,success
164115732284439,bilendi,success
164115709495354,bilendi,success
164115709127778,bilendi,success
164115710304367,bilendi,success
164115707067494,bilendi,success
164056117914695,bilendi,screen out
164115707123818,bilendi,success
164056352747544,bilendi,screen out
164115707203700,bilendi,screen out
164056117852243,bilendi,success
164115734103104,bilendi,success
164115710748780,bilendi,success
164115709214834,bilendi,success
164115708047425,bilendi,success
164115710198873,bilendi,success
164115733779553,bilendi,screen out
164115733281905,bilendi,success
164115708517466,bilendi,success
164115732491347,bilendi,success
164056352676949,bilendi,success
164056118371434,bilendi,screen out
164115709326349,bilendi,success
164115732913195,bilendi,success
164115733141576,bilendi,screen out
164115708224514,bilendi,success
164115733900415,bilendi,success
164115707214971,bilendi,screen out
164115732687998,bilendi,success
164115710745690,bilendi,success
164056117907505,bilendi,success
164115708176503,bilendi,success
164056352804930,bilendi,success
164115732746253,bilendi,success
164056117849159,bilendi,screen out
164115732600945,bilendi,success
164115709985824,bilendi,success
164115708374058,bilendi,success
164056118067216,bilendi,screen out
164056118377483,bilendi,screen out
164115707814009,bilendi,success
164115732306974,bilendi,success
164056352675919,bilendi,success
164115707195504,bilendi,success
164115707588679,bilendi,screen out
164115708523613,bilendi,success
164056118371434,bilendi,screen out
164115708166260,bilendi,success
164115708459078,bilendi,success
164056117877879,bilendi,screen out
164056118060040,bilendi,success
164115708931130,bilendi,success
164056353040395,bilendi,screen out
164056117996644,bilendi,success
164115708536929,bilendi,screen out
164115709160550,bilendi,success
164115732959277,bilendi,success
164115733398540,bilendi,success
164115707895823,bilendi,success
164115732599920,bilendi,screen out
164115707978796,bilendi,success
164056118356062,bilendi,success
164115732452422,bilendi,success
164115708167285,bilendi,success
164115709169771,bilendi,success
164115708054597,bilendi,success
164115710367864,bilendi,success
164115710749807,bilendi,success
164056352863235,bilendi,success
164115710743632,bilendi,success
164115732107274,bilendi,screen out
164115734019111,bilendi,success
164056117922898,bilendi,success
164115708390449,bilendi,success
164115708163186,bilendi,success
164115733354497,bilendi,success
164115708332066,bilendi,screen out
164115707251719,bilendi,screen out
164056118028412,bilendi,screen out
164115733258347,bilendi,success
164115707974697,bilendi,screen out
164115732572262,bilendi,success
164115732312098,bilendi,success
164056117897244,bilendi,success
164115733233764,bilendi,screen out
164115710745688,bilendi,success
164115733230691,bilendi,success
164056117821468,bilendi,success
164056352950334,bilendi,screen out
164115732889639,bilendi,screen out
164115732316202,bilendi,success
164115708041278,bilendi,screen out
164056117944327,bilendi,success
164056118205496,bilendi,screen out
164115707880461,bilendi,success
164056118144119,bilendi,success
164115708213375,bilendi,success
164115707857926,bilendi,success
164115708493906,bilendi,screen out
164115731985526,bilendi,success
164056118094910,bilendi,screen out
164115708217344,bilendi,success
164115707541567,bilendi,success
164056118293590,bilendi,success
164115734043696,bilendi,success
164115733245031,bilendi,success
164056352701534,bilendi,success
164056117874795,bilendi,success
164115709433891,bilendi,success
164056352676947,bilendi,success
164115732770830,bilendi,success
164115708236805,bilendi,success
164056117962788,bilendi,success
164115708206203,bilendi,screen out
164115708505174,bilendi,success
164115732135949,bilendi,success
164115733475354,bilendi,success
164115708131435,bilendi,success
164115707968552,bilendi,success
164056117977151,bilendi,success
164115732485201,bilendi,success
164115707534397,bilendi,success
164115707818106,bilendi,screen out
164115732369466,bilendi,success
164056117999725,bilendi,screen out
164115707227137,bilendi,success
164056118323226,bilendi,success
164056118035582,bilendi,success
164115708982341,bilendi,success
164115710749806,bilendi,success
164115709007946,bilendi,screen out
164056117859417,bilendi,success
164115732431939,bilendi,success
164056117931113,bilendi,success
164115708281877,bilendi,success
164056352748576,bilendi,success
164056118381603,bilendi,success
164115732225045,bilendi,success
164115707857923,bilendi,screen out
164115708074069,bilendi,success
164056118380575,bilendi,success
164115708606574,bilendi,success
164115732695045,bilendi,success
