timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
26fbf06354411f2d7c208ff10d28e395767c7bd3d876fbe3e2149bb97108057d Mozilla/5.0 (Windows NT 10.0; rv:84.0 ) Gecko/20100101 Firefox/84.0  anonymized by Abelssoft 116755444,20039a0d-229b-48ed-8035-7c002e69cbad,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Male,yes,Definitely Does not,Definitely no,"No, never",between true and untrue,true,8,left,right,neutral,false,sh,4,0
"26fbf06354411f2d7c208ff10d28e395767c7bd3d876fbe3e2149bb97108057d Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 Edg/87.0.664.75",d9112cb6-78ab-4e94-b10f-ea9a91a81b43,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Definitely Does not,Definitely no,Only a few times,between true and untrue,between true and untrue,8,left,right,neutral,false,t,4,0
72f16aa1334c2275ba39f69c6e26bb638127664423b5b68996091c2aaa999130 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,8462ab84-352a-4153-aa02-dab5549958c6,60ebda8d7c2a468911061ac54b777ac1bbc6a96db422afd3e0c630eca82d5574,12,ac7b8cd1d60ddda8655187a1669b3dee9163863c55064de0bced8eb4e489a9d2,12,online,yes,no,30-44,Male,yes,Don’t know,Don't know,Occasionally,untrue,very untrue,35,right,left,erotic,false,t,1,0
"a330a99cd7f635e1ca943c8324efbd7db3453236098bde5a30fc87f3b7f7d844 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",852629a1-c1eb-40e8-9cfc-e1a88e63cb22,60ebda8d7c2a468911061ac54b777ac1bbc6a96db422afd3e0c630eca82d5574,12,ac7b8cd1d60ddda8655187a1669b3dee9163863c55064de0bced8eb4e489a9d2,12,online,yes,no,45-59,Male,yes,Probably does not,Definitely no,"No, never",between true and untrue,very untrue,36,right,right,erotic,true,t,1,0
86b9b16f105e8329548893401aee5fd22dea94d60d704b67178856c5719e8dfa Mozilla/5.0 (Windows NT 10.0; rv:84.0 ) Gecko/20100101 Firefox/84.0  anonymized by Abelssoft 116755444,20039a0d-229b-48ed-8035-7c002e69cbad,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Male,yes,Definitely Does not,Definitely no,"No, never",between true and untrue,true,9,left,left,erotic,true,t,4,0
"444195a5524c1e33d67210fcd55479085c259ecc78fc548b4c1a5eea790917a0 Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 Edg/87.0.664.75",d9112cb6-78ab-4e94-b10f-ea9a91a81b43,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Definitely Does not,Definitely no,Only a few times,between true and untrue,between true and untrue,9,left,left,neutral,true,t,4,0
b8824d2d7d835d091bb34b60af6b9ced5b91739dc4cf0adce0dd42b6acb86b50 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,8462ab84-352a-4153-aa02-dab5549958c6,60ebda8d7c2a468911061ac54b777ac1bbc6a96db422afd3e0c630eca82d5574,12,ac7b8cd1d60ddda8655187a1669b3dee9163863c55064de0bced8eb4e489a9d2,12,online,yes,no,30-44,Male,yes,Don’t know,Don't know,Occasionally,untrue,very untrue,36,left,right,erotic,false,t,1,0
e486c64300e13732667921b4f0d33170281443169a445e6bce90026f6571917c Mozilla/5.0 (Windows NT 10.0; rv:84.0 ) Gecko/20100101 Firefox/84.0  anonymized by Abelssoft 116755444,20039a0d-229b-48ed-8035-7c002e69cbad,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Male,yes,Definitely Does not,Definitely no,"No, never",between true and untrue,true,10,left,left,erotic,true,t,4,0
"be64405acd446998b7ebaa02321737189c7fe73efc65ebd1a3da9f8a272188b9 Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 Edg/87.0.664.75",d9112cb6-78ab-4e94-b10f-ea9a91a81b43,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Definitely Does not,Definitely no,Only a few times,between true and untrue,between true and untrue,10,left,left,erotic,true,sh,4,0
"ee982bee384adbccd3c3f96f8a9445668d73fb0091d08ce308e3f065a2073c9e Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 Edg/87.0.664.75",d9112cb6-78ab-4e94-b10f-ea9a91a81b43,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Definitely Does not,Definitely no,Only a few times,between true and untrue,between true and untrue,11,right,right,neutral,true,sh,4,0
