timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"915d4c9ac69fca9a1f0942a51fab36e47e0eac129bcccac3e9c8c91e29b270ae Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",03451884-516c-4cbb-ad5f-9226a313fa9d,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
941561b86de87fafde3f499fba2cddfbd16e47aa17224e93aa37e01760b4fa07 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,5,right,left,erotic,false,t,4,0
27383633e445b98eecee7e535b952e48543b650f24ec695b70d026d82ec24034 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,6,left,right,neutral,false,t,4,0
c73ff785d13e530dd23063128d689c0a487800f10c0b7d1feef82a6561982e44 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,7,left,left,erotic,true,t,4,0
"330f1685a7dc03d31febba08921d4d8383b8113be316047973346217629727c5 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",03451884-516c-4cbb-ad5f-9226a313fa9d,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
"6cabca8fb0a0daee5c6cd7785f2a24f0064aca9c51c952ed8f96243508e555bb Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",03451884-516c-4cbb-ad5f-9226a313fa9d,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,30-44,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
f1e7f0390b46d12dcef6965ea980a1eac00479b3ec8914a0801842f4b2e6387d Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,8,left,right,erotic,false,sh,4,0
f3ec109bb321f913c7943dca9cd89049b42865cb843629373b25e3d975076548 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,5e8fe7b2-fce2-4366-a2ae-ce3b131b62ca,60ebda8d7c2a468911061ac54b777ac1bbc6a96db422afd3e0c630eca82d5574,12,ac7b8cd1d60ddda8655187a1669b3dee9163863c55064de0bced8eb4e489a9d2,12,online,yes,no,60+,Male,yes,Probably does not,Definitely no,"No, never",NA,NA,NA,NA,NA,NA,NA,NA,1,0
545452bbb0233d71af7cfe6f1d7ecb0d393f201d8707958a2883e6adb4de89f1 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,9,left,right,neutral,false,t,4,0
87adb5b2ae61037cc42246a64a93f7124311b8b42bef043086a05021d71bad21 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,5e8fe7b2-fce2-4366-a2ae-ce3b131b62ca,60ebda8d7c2a468911061ac54b777ac1bbc6a96db422afd3e0c630eca82d5574,12,ac7b8cd1d60ddda8655187a1669b3dee9163863c55064de0bced8eb4e489a9d2,12,online,yes,no,60+,Male,yes,Probably does not,Definitely no,"No, never",between true and untrue,very untrue,NA,NA,NA,NA,NA,NA,1,0
